Data
"  19   24   16   28   1   42   8   32   0   
11   33   10   8   25   19   22   -6   19   28   18   24   27   41   23   -4   20   17   -1   12   19   17   22   -10   5   31   -5   6   19   48   -4   5   
29   2   21   2   34   23   20   1   25   18   12   32   13   6   14   14   3   23   25   7   -3   14   1   37   25   -7   25   25   35   10   -10   26   
10   -4   36   -9   10   14   24   11   2   0   17   17   9   17   2   18   0   24   20   9   33   14   16   -3   13   14   22   18   -1   10   28   17   
0   17   37   13   9   -14   20   32   8   11   31   42   1   32   9   32   16   25   18   1   0   15   14   35   14   2   17   24   9   -1   20   8   
17   -3   19   8   13   -1   21   12   20   -5   21   17   5   4   -8   23   6   4   24   32   -3   17   17   9   16   0   9   -11   2   1   23   28   
-2   -6   3   8   -1   16   27   21   -16   11   29   15   -1   -2   32   30   -2   2   19   16   -4   -2   10   23   19   10   10   17   12   16   23   20   
18   9   17   12   3   -1   6   19   26   3   23   15   21   17   18   -5   13   25   8   1   8   3   -10   24   22   14   20   -11   30   -13   9   18   
-5   3   0   27   10   12   2   29   21   28   10   15   -11   15   -13   0   -13   13   0   14   -7   41   11   24   5   10   7   41   14   14   14   15   
24   4   21   -8   11   -1   36   22   29   6   11   9   37   6   30   4   6   6   24   20   25   14   21   7   10   32   18   32   36   14   23   10   
14   4   13   33   13   25   17   8   -1   8   0   5   11   16   11   17   -2   21   17   10   2   19   14   22   3   23   -8   57   -11   3   -3   21   
14   5   7   10   -4   9   33   23   11   -4   32   8   4   10   34   8   18   -14   35   2   18   -12   37   12   18   19   38   27   4   30   11   18   
0   12   19   23   -10   21   12   25   14   13   -2   11   14   38   26   20   8   -8   13   38   -3   24   13   19   17   13   21   8   3   11   16   34   
16   -3   0   11   32   6   24   12   26   5   38   1   13   7   20   2   -1   -6   -3   12   -2   -5   -9   7   7   17   23   -1   27   22   10   -3   
11   18   3   32   -2   12   12   29   -5   24   15   12   14   2   8   21   1   23   0   29   19   12   6   0   11   26   20   24   -12   20   22   5   
-9   -23   31   20   19   16   33   12   19   11   20   10   6   7   31   11   12   -9   13   4   26   7   2   13   24   11   8   -3   20   11   11   0   
-5   11   21   1   11   33   6   -11   6   27   -12   28   13   30   -2   -17   0   27   13   -11   12   15   20   11   0   1   0   9   5   3   -11   9   
19   8   2   -10   34   2   14   -5   31   21   16   -3   22   -9   4   7   16   22   -1   18   32   -4   4   7   7   19   -8   -16   30   0   1   11   
"
"
35   11   -8   14   16   24   0   53   44   16   11   13   17   7   8   1   31   18   -3   4   8   -19   -25   3   15   4   9   9   7   -6   -13   23   
4   18   39   16   24   22   29   6   12   12   31   0   39   18   10   7   15   13   28   -10   25   13   32   2   12   20   27   -11   1   12   27   -1   
29   27   11   13   37   4   7   18   17   39   12   35   19   17   19   30   30   14   -17   15   31   17   7   -5   22   0   25   21   53   2   20   17   
11   19   24   0   14   20   26   10   19   32   28   -14   13   13   26   19   -5   25   26   -10   23   23   16   7   35   39   20   -2   23   31   1   12   
39   21   14   30   49   29   13   0   47   23   5   12   32   2   5   24   28   6   8   3   17   23   -3   21   20   -4   1   31   7   22   14   15   
14   23   5   13   54   34   27   -3   8   29   15   -3   23   19   7   7   20   19   15   9   16   23   30   6   15   28   21   2   31   29   28   10   
12   10   33   7   22   21   24   13   38   -10   -1   13   33   0   21   6   15   7   5   17   42   8   32   19   22   15   28   4   42   5   34   -12   
24   26   13   13   34   15   22   0   17   23   18   23   30   37   27   0   31   15   -1   18   18   26   23   -3   17   23   -1   13   21   43   0   15   
24   3   21   4   26   28   28   5   21   23   14   30   9   9   13   20   2   20   21   16   -4   15   7   39   21   -1   27   24   26   17   -10   34   
8   -5   35   -3   14   9   23   16   8   -10   10   13   6   14   6   21   0   5   28   7   31   16   21   -2   7   10   13   19   4   7   20   19   
-4   18   35   13   9   -20   16   32   5   3   44   41   -1   32   20   31   14   22   22   4   0   21   18   31   5   2   22   21   0   0   25   6   
22   -4   13   10   4   -9   16   14   19   -12   21   15   8   -6   -5   32   12   -5   29   37   1   1   19   16   33   -8   9   -14   0   0   28   30   
-3   -3   5   5   0   21   34   23   -14   12   26   13   0   -2   30   30   -2   6   20   16   -4   6   11   19   9   16   15   22   20   26   28   22   
18   8   27   8   11   1   10   20   31   2   23   15   23   15   18   -5   25   21   6   -1   11   -2   -11   32   26   16   24   -1   25   -19   5   24   
-8   -3   -5   26   -1   16   -3   29   13   32   15   18   -10   14   -11   0   -13   17   -4   3   -4   45   7   25   -7   12   0   37   8   15   15   12   
20   -4   21   -12   18   -7   37   28   32   0   6   8   28   1   29   4   0   -4   18   21   22   14   13   1   5   25   21   33   33   14   17   16   
8   6   18   31   5   24   16   3   -5   13   2   6   18   13   10   10   -4   17   5   5   8   16   16   20   4   18   0   52   -17   11   -1   22   
8   7   11   17   0   7   32   19   9   -8   34   15   5   6   31   7   11   -14   33   9   13   -10   36   11   17   16   39   23   4   29   8   18   
0   10   13   21   -22   20   11   26   8   18   -8   10   8   33   25   17   0   -9   17   35   -13   17   15   17   19   7   25   7   -5   14   11   34   
9   0   5   8   33   5   25   8   20   0   32   3   18   2   11   1   3   -3   0   13   -3   -11   -13   7   9   14   29   2   33   19   5   -1   
-1   17   5   34   -4   11   7   29   -8   28   11   7   7   0   10   16   -8   21   0   24   15   13   10   -4   -1   27   22   25   -10   21   17   8   
0   -18   24   29   18   13   26   17   20   11   18   11   0   12   26   16   15   -7   13   1   25   4   -4   24   27   13   11   3   25   14   10   0   
-5   4   17   3   1   30   9   -21   9   24   -6   25   7   32   0   -19   3   24   14   -11   10   9   24   12   -8   9   9   9   -2   7   -14   3   
17   6   -8   -10   31   7   18   3   22   16   2   -5   22   -7   7   11   9   17   -1   18   35   -3   0   13   10   20   -11   -10   24   -5   11   12   
"
"
35   15   -8   12   15   28   0   51   49   16   10   15   13   6   11   8   28   17   0   3   8   -22   -25   7   14   4   7   10   1   -6   -12   17   
-4   16   37   25   20   17   34   3   16   6   32   0   35   22   19   8   12   13   19   -5   25   13   36   2   18   21   23   -9   0   15   30   1   
24   19   13   16   37   0   11   21   13   35   23   35   21   15   20   18   32   9   -10   10   26   8   17   -3   22   4   21   20   48   -3   18   16   
7   15   24   5   9   24   23   7   18   31   27   -13   18   15   17   21   -8   22   24   -4   14   18   5   14   30   37   29   6   19   27   0   18   
37   18   15   29   42   32   11   5   42   22   13   9   33   -3   15   25   18   -2   4   7   18   32   -1   22   17   -7   6   28   17   26   19   20   
6   19   11   16   47   37   31   0   14   31   20   8   21   27   18   10   15   22   17   9   23   26   31   10   7   38   25   1   36   24   30   13   
8   8   26   10   18   17   28   11   30   -8   0   12   32   4   19   10   9   12   1   11   40   11   23   18   27   14   22   1   43   15   28   -12   
